period,AHU-1-EC,AHU-1-SAR,AHU-1-SAT,CHB-1-DF,CHB-1-SP,CHI-1-CP,CHI-1-KWR,CHI-1-LCWSTSP,CHICMP-1-AP,CLDHM,CLDOAFT,CLDOAT,CNDP-1-RFT,CNDP-1-SPD,CT-1-ENT,CT-1-EXT,CT-1-SPD,CW-1-STSP,DHW-1-RT,DHW-1-ST,DHWB-1-RTL,DHWB-2-RTL,DHWT-1-TMP,EVA-1-P,EVA-1-RT,H-1-CO2,H-1-TMP,H-2-CO2,H-2-TMP,HC-1-RT,HC-1-ST,HYD-1-DP,HYD-1-RTT,HYD-1-SPD,HYD-1-ST,HYD-2-SPD,HYDC-1-P,LHB-1-DF,LHB-1-SP,OAT-1,OAT-2,PC-1-P,hour,weekday,CDD,CHI-1-EC,CT-1-EC,CNDP-1-EC,HYD-1-EC,HYD-2-EC
2021-08-01 07:45:00+00:00,100.25,45.33,19.37933333,0,0,80.97933333,55.03913333,0,28.2212,90.15,17.35733333,17.24066667,18.83933333,36.80666667,21.35933333,20.174,33.62,0,49.74113333,50.40453333,27.94,20.447,51.97246667,59.39906667,9.440666667,439.8967333,22.4712,431.0178667,22.58593333,11.68466667,10.512,7.039133333,13.3696,44.70666667,11.97286667,0,26.1866,0,0,18.66426667,18.65693333,19.24133333,6.94,5.98,0,13.715,0,3.75,1,0
2021-08-01 08:00:00+00:00,99.75,45.27,19.16906667,0,0,93.24373333,93.17386667,0,47.21,90.15,17.26666667,17.26333333,23.83733333,55.14,22.12533333,20.62733333,55.94,0,49.4766,50.0676,27.94,20.447,51.8472,54.45373333,7.054666667,442.2409333,22.41873333,434.6556,22.5636,10.38733333,8.284666667,6.9276,12.64566667,44.46666667,10.21593333,0,25.95226667,0,0,18.6284,18.62726667,19.2576,8.06,5.98,0,18.207,0,3.75,2,0
2021-08-01 08:15:00+00:00,100.25,45.27,19.03526667,0,0,62.20666667,5.908266667,0,3.3678,90.15,17.17,17.18,10.77133333,3.526666667,20.798,20.28266667,3.86,0,49.1862,51.12853333,34.4152,47.69266667,53.09393333,58.8114,9.269333333,443.4782,22.37366667,435.3719333,22.54733333,9.627333333,9.532,6.966266667,11.6078,44.78,10.94393333,0,25.94446667,0,0,18.47126667,18.46393333,19.23693333,8.06,6.02,0,0,0,2.75,1,0
2021-08-01 08:30:00+00:00,100.25,45.27,18.81733333,0,0,62.436,0,0,0,90.15,17.03733333,17.05666667,11.16133333,0,21.086,20.00333333,0,0,49.6706,53.18153333,58.19,50.598,54.51033333,62.28833333,11.052,445.736,22.3466,438.4001333,22.5086,11.14266667,11.17133333,6.955933333,12.70833333,44.87333333,12.35233333,0,26.0662,0,0,18.3982,18.27593333,19.17626667,8.06,6.02,0,0,0,0,1,0
2021-08-01 08:45:00+00:00,99.75,45.27,18.58166667,0,0,88.46426667,78.9396,0,40.7656,89.85,16.91333333,16.936,21.936,51.19333333,21.52533333,20.11333333,48.5,0,51.6284,52.814,42.81,50.598,54.00773333,57.28833333,8.454,446.7778667,22.2698,436.8135333,22.48246667,11.67466667,9.793333333,7.1198,13.46673333,44.62666667,11.54526667,0,26.17213333,0,0,18.1196,18.2284,19.26573333,7.94,6.02,0,20.184,8.5,0.25,1,0
2021-08-01 09:00:00+00:00,100.25,45.27,18.39833333,0,0,84.55613333,67.92773333,0,34.37,90.18333333,16.75,16.78,20.48266667,43.86,21.34866667,20.18266667,40.78,0,51.85406667,52.24393333,58.19,50.238,53.83793333,55.04346667,7.32,444.8244,22.232,434.8598,22.46966667,9.854666667,8.22,6.974333333,12.1546,44.44,9.9702,0,25.94206667,0,0,17.98533333,18.09166667,19.17186667,8.94,5.98,0,19.535,0,3.75,1,0
2021-08-01 09:15:00+00:00,99.75,45.27,18.2628,0,0,60.04946667,0,0,0,91.15,16.53066667,16.47466667,9.952,0,20.30133333,19.67866667,0,0,51.24786667,51.90153333,42.81,50.598,53.28586667,59.91446667,9.801333333,439.8100667,22.18493333,433.9718,22.42026667,9.978,9.991333333,6.889,11.77353333,44.34666667,11.399,0,25.9118,0,0,17.9602,17.85646667,19.15186667,9.06,6.02,0,0,0,0,1,0
2021-08-01 09:30:00+00:00,99.75,45.33,18.03233333,0,0,62.97946667,0,0,0,90.81666667,16.66066667,16.464,11.42466667,3.526666667,20.73133333,19.36,0,0,51.0672,51.52406667,42.81,50.598,53.0568,62.82186667,11.28266667,434.8826,22.11513333,428.567,22.39166667,11.424,11.452,6.967333333,12.8908,44.75333333,12.54,0,25.9058,0,0,17.81673333,17.81413333,19.24506667,9.06,6.02,0,0,0,0,1,0
2021-08-01 09:45:00+00:00,99.75,45.33,17.8066,0,0,88.55313333,85.52126667,0,43.32773333,89.85,16.55133333,16.6,22.038,54.86,20.852,19.386,51.94,0,49.29546667,51.32713333,58.19,50.598,52.61293333,56.87266667,8.235333333,430.9103333,22.01466667,421.5429333,22.30086667,11.71266667,9.604,7.1742,13.52093333,44.54,11.4174,0,25.87526667,0,0,17.7012,17.7064,19.22873333,8.94,5.98,0,16.059,0,3.75,1,0
2021-08-01 10:00:00+00:00,99.75,45.33,17.5148,0,0,81.5662,60.461,0,31.28553333,90.15,16.35333333,16.42,19.04133333,40.47333333,20.26133333,19.312,40.78,0,49.96726667,50.8222,42.81,50.238,51.91906667,54.97866667,7.287333333,436.3588667,21.9552,424.0174,22.27226667,9.738666667,8.23,7.300466667,12.01906667,44.2,9.964,0,25.95633333,0,0,17.39233333,17.38706667,18.8096,9.94,6.02,0,12.285,0,3.75,2,0
